"Ensgid"	"rsid"	"near_id"	"dist"	"hgnc_symbol"	"name"
"ENSG00000005810"	"rs10400634"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs11842917"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs2329028"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs2329029"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs12869227"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs4885446"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs700359"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs687532"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs17067242"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs624575"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs2328999"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs71203036"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs34380354"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs670513"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs7337686"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs7322722"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs33938909"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs3038650"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs9544438"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs9788300"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs7995002"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs34408900"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs7325942"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs7328012"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs1969954"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs7984926"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs1178627"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs727839"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs9318469"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs2274548"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs4885453"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs28522795"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs7324014"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs9544419"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs7994657"	"ENSG00000005810//MYCBP2"	4294	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs7319081"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs9544460"	"ENSG00000005810//MYCBP2"	5398	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs6562983"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
"ENSG00000005810"	"rs9574026"	"ENSG00000005810//MYCBP2"	0	"MYCBP2"	"MYC binding protein 2"
